Surname,"Name","Email address",State,"Started on",Completed,"Time taken",Grade,"Q. 1 /0.24","Q. 2 /0.24","Q. 3 /0.24","Q. 4 /0.24","Q. 5 /0.24","Q. 6 /0.24","Q. 7 /0.24","Q. 8 /0.24","Q. 9 /0.24","Q. 10 /0.24","Q. 11 /0.24","Q. 12 /0.24","Q. 13 /0.24","Q. 14 /0.24","Q. 15 /0.24","Q. 16 /0.24","Q. 17 /0.24","Q. 18 /0.24","Q. 19 /0.24","Q. 20 /0.24","Q. 21 /0.24","Q. 22 /0.24","Q. 23 /0.24","Q. 24 /0.24","Q. 25 /0.24","Q. 26 /0.24","Q. 27 /0.24","Q. 28 /0.24","Q. 29 /0.24","Q. 30 /0.24","Q. 31 /0.24","Q. 32 /0.24","Q. 33 /0.24","Q. 34 /0.24","Q. 35 /0.24","Q. 36 /0.24","Q. 37 /0.24","Q. 38 /0.24","Q. 39 /0.24","Q. 40 /0.24","Q. 41 /0.24","Q. 42 /0.24"
Dumanska,Noemi,nd12442@example.com,Finished,"5 April 2022  7:06 AM","5 April 2022  7:56 AM","49 mins 20 secs",8.10,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.00,0.24,0.00,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24
Abid,Zara,za7760@example.com,Finished,"5 April 2022  7:06 AM","5 April 2022  7:55 AM","48 mins 39 secs",6.43,0.24,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.00,0.24,0.00,0.00,0.24,0.00,0.24,0.24,0.24,0.00,0.00,0.24,0.00,0.24,0.24,0.00,0.00,0.00,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24
Ali,Faisal,fa11864@example.com,Finished,"5 April 2022  7:06 AM","5 April 2022  7:38 AM","32 mins 8 secs",7.14,0.24,0.00,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.00,0.00,0.24,0.24,0.00,0.00,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.00,0.00,0.24
O'Shea,Jack,jo9131@example.com,Finished,"5 April 2022  7:09 AM","5 April 2022  7:32 AM","22 mins 28 secs",4.52,0.00,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.00,0.24,0.24,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.00,0.00,0.24,0.00,0.00,0.00,0.00
Boyce,Lewis,lb8008@example.com,Finished,"5 April 2022  7:09 AM","5 April 2022  7:44 AM","34 mins 58 secs",4.76,0.24,0.00,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.00,0.24,0.24,0.24,0.00,0.24,0.00,0.24,0.00,0.00,0.00,0.24,0.00,0.00,0.00,0.00,0.24,0.00,0.00,0.24,0.24,0.00,0.00,0.24,0.00,0.24,0.00,0.00,0.00,0.24
Mercer,Yousuf,ym7805@example.com,Finished,"5 April 2022  11:40 AM","5 April 2022  12:27 PM","47 mins 15 secs",7.62,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.00,0.00,0.24,0.24,0.24,0.24,0.00,0.00,0.24,0.24,0.00,0.24,0.00,0.00,0.00,0.24
Fares,Theo,tf7729@example.com,Finished,"5 April 2022  11:40 AM","5 April 2022  12:00 PM","19 mins 22 secs",9.52,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24
"Al Sayed",Abdulrahman,aa7992@example.com,Finished,"5 April 2022  11:40 AM","5 April 2022  12:13 PM","32 mins 26 secs",8.81,0.24,0.00,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.00,0.24,0.24
AlSalem,Ahmad,aa8787@example.com,Finished,"5 April 2022  11:40 AM","5 April 2022  12:18 PM","37 mins 52 secs",9.52,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
Jones,Alexander,aj11163@example.com,Finished,"5 April 2022  11:40 AM","5 April 2022  11:53 AM","12 mins 35 secs",9.05,0.24,0.24,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
Cocker,Matilda,mc10707@example.com,Finished,"5 April 2022  11:40 AM","5 April 2022  12:21 PM","40 mins 46 secs",7.14,0.00,0.00,0.00,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.00,0.00,0.00,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.00,0.00,0.24,0.24,0.24
Halawani,Rakan,rh7691@example.com,Finished,"5 April 2022  11:40 AM","5 April 2022  12:24 PM","43 mins 19 secs",7.38,0.00,0.00,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.00,0.24,0.00,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24
"Al Harthy",Amber,aa8647@example.com,Finished,"5 April 2022  11:40 AM","5 April 2022  12:17 PM","36 mins 43 secs",8.81,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24
Matta,Tia,tm12505@example.com,Finished,"5 April 2022  11:40 AM","5 April 2022  12:29 PM","48 mins 37 secs",6.19,0.24,0.00,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.00,0.24,0.00,0.24,0.24,0.00,0.24,0.00,0.00,0.24,0.24,0.00,0.24,0.24,0.24,0.00,0.24,0.00,0.00,0.24,0.00,0.24,0.00,0.00
AlZamil,Latifa,la10478@example.com,Finished,"5 April 2022  11:40 AM","5 April 2022  12:20 PM","39 mins 17 secs",7.14,0.00,0.00,0.00,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.00,0.24,0.24,0.00,0.00,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.00
Karaan,Aiden,ak7938@example.com,Finished,"5 April 2022  11:40 AM","5 April 2022  12:16 PM","35 mins 24 secs",8.81,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
Sater,Saud,ss8597@example.com,Finished,"5 April 2022  11:40 AM","5 April 2022  12:18 PM","37 mins 35 secs",9.05,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.00,0.24,0.24
Kent,Oliver,ok11087@example.com,Finished,"5 April 2022  11:40 AM","5 April 2022  12:12 PM","31 mins 33 secs",7.14,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.00,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.00,0.24,0.24,0.24,0.00,0.24,0.00,0.24,0.00,0.00,0.24,0.00,0.24,0.24,0.24,0.00,0.00
Codd,Amelia,ac8416@example.com,Finished,"5 April 2022  11:40 AM","5 April 2022  12:25 PM","44 mins 53 secs",6.90,0.00,0.24,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.00,0.00,0.00,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.00,0.00,0.24,0.24
Agha,Lara,la8486@example.com,Finished,"5 April 2022  11:40 AM","5 April 2022  12:11 PM","30 mins 50 secs",7.62,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.00,0.00,0.24,0.24,0.00,0.24,0.24,0.24,0.00,0.24,0.24,0.24
Iyer,Maryam,mi11680@example.com,Finished,"5 April 2022  11:40 AM","5 April 2022  12:10 PM","29 mins 49 secs",8.57,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24
Kanoo,Sarah,sk7733@example.com,Finished,"5 April 2022  11:40 AM","5 April 2022  12:13 PM","32 mins 12 secs",7.14,0.24,0.24,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.00,0.24,0.00,0.00,0.24,0.24,0.00,0.24,0.00,0.24,0.24,0.24,0.24,0.00,0.24,0.00,0.24,0.24,0.24,0.00,0.24,0.24,0.24
"Abi Ramia",Nadim,na7750@example.com,Finished,"5 April 2022  11:41 AM","5 April 2022  12:26 PM","45 mins 48 secs",9.76,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
Dashti,Hela,hd7785@example.com,Finished,"5 April 2022  11:41 AM","5 April 2022  12:14 PM","33 mins 44 secs",8.57,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.00,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24
Alarayedh,Yusuf,ya7739@example.com,Finished,"5 April 2022  11:41 AM","5 April 2022  12:24 PM","43 mins 20 secs",9.29,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
Sizeland,Frederick,fs11248@example.com,Finished,"5 April 2022  11:41 AM","5 April 2022  12:11 PM","29 mins 28 secs",9.52,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
Ombler,Dylan,do10483@example.com,Finished,"5 April 2022  11:41 AM","5 April 2022  12:03 PM","21 mins 26 secs",7.38,0.24,0.00,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.00,0.24,0.00,0.00,0.24,0.24,0.24,0.24,0.00,0.00,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24
Hofman,Reuben,rh8375@example.com,Finished,"6 April 2022  11:37 AM","6 April 2022  12:06 PM","28 mins 49 secs",6.67,0.00,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.00,0.00,0.00,0.00,0.24,0.00,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.00,0.24,0.24
Mews,Alessandro,am9274@example.com,Finished,"6 April 2022  11:37 AM","6 April 2022  12:23 PM","45 mins 59 secs",7.38,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.00,0.24,0.24,0.00,0.00,0.00,0.24,0.00,0.24,0.24,0.00,0.24,0.00,0.24,0.24,0.24,0.24,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
Agarwal,Alaina,aa11663@example.com,Finished,"6 April 2022  11:37 AM","6 April 2022  12:06 PM","28 mins 36 secs",10.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
Bindal,Pratyush,pb8127@example.com,Finished,"6 April 2022  11:37 AM","6 April 2022  12:00 PM","22 mins 33 secs",10.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
Texmo,Isak,it12469@example.com,Finished,"6 April 2022  11:37 AM","6 April 2022  12:06 PM","28 mins 43 secs",9.05,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.00,0.24,0.00,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
Theron,Ruhan,rt11182@example.com,Finished,"6 April 2022  11:37 AM","6 April 2022  12:21 PM","44 mins 2 secs",9.76,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
AlSekri,Mariam,ma8777@example.com,Finished,"6 April 2022  11:37 AM","6 April 2022  12:13 PM","35 mins 22 secs",5.95,0.00,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.24,0.00,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24
Farooqi,Eshal,ef7723@example.com,"In progress","6 April 2022  11:37 AM",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Wagstaff,Ryan,rw7751@example.com,Finished,"6 April 2022  11:37 AM","6 April 2022  12:04 PM","27 mins 7 secs",9.29,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
Khalaifat,Ali,ak7867@example.com,Finished,"6 April 2022  11:37 AM","6 April 2022  12:10 PM","32 mins 49 secs",2.86,0.00,0.00,0.00,0.00,0.24,0.00,0.00,0.24,0.00,0.00,0.24,0.00,0.24,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.00,0.24,0.00,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.24,0.00,0.24,0.24,0.24,0.00,0.00,0.00,0.00,0.00,0.00
Alslaise,Hia,ha7769@example.com,Finished,"6 April 2022  11:37 AM","6 April 2022  11:57 AM","20 mins 3 secs",7.14,0.00,0.00,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.00,0.00,0.24,0.24,0.00,0.24,0.24,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.00,0.24
Lee,Sonya,sl7868@example.com,Finished,"6 April 2022  11:37 AM","6 April 2022  11:57 AM","19 mins 21 secs",9.76,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
Buklu,Dora,db7770@example.com,Finished,"6 April 2022  11:37 AM","6 April 2022  12:27 PM","50 mins",8.33,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24
"Murillo Lazzari",Alexandra,am12494@example.com,Finished,"6 April 2022  11:37 AM","6 April 2022  12:26 PM","48 mins 26 secs",6.19,0.00,0.00,0.00,0.24,0.24,0.00,0.24,0.24,0.00,0.24,0.24,0.00,0.24,0.24,0.24,0.00,0.24,0.00,0.00,0.24,0.24,0.00,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.00,0.24,0.00,0.00,0.24,0.24,0.24,0.00,0.24
Chkhounti,Kais,kc11747@example.com,Finished,"6 April 2022  11:37 AM","6 April 2022  12:12 PM","34 mins 59 secs",6.19,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.00,0.00,0.24,0.24,0.24,0.24,0.00,0.00,0.00,0.24,0.24,0.00,0.00,0.24,0.00,0.24,0.00,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.00,0.00,0.00,0.00
Nielsen,Sebastian,sn7851@example.com,Finished,"6 April 2022  11:37 AM","6 April 2022  12:05 PM","27 mins 33 secs",6.90,0.00,0.24,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.00,0.24,0.24,0.24,0.24,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.00,0.00,0.00,0.00
Baker,Phoebe,pb9577@example.com,Finished,"6 April 2022  11:37 AM","6 April 2022  12:04 PM","26 mins 33 secs",7.86,0.24,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.00,0.00,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24
Hempel,Natasha,nh7914@example.com,Finished,"6 April 2022  11:37 AM","6 April 2022  12:10 PM","32 mins 48 secs",7.62,0.24,0.00,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.00,0.24,0.00,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.00
Naser,Mohammed,mn12471@example.com,Finished,"6 April 2022  11:38 AM","6 April 2022  12:05 PM","27 mins 13 secs",10.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
Kafala,Najwa,nk100053@example.com,Finished,"6 April 2022  11:41 AM","6 April 2022  12:03 PM","22 mins",5.00,0.24,0.00,0.24,0.24,0.24,0.00,0.24,0.24,0.00,0.24,0.24,0.24,0.00,0.00,0.24,0.00,0.00,0.00,0.00,0.24,0.00,0.00,0.00,0.00,0.00,0.24,0.24,0.00,0.24,0.00,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.00,0.00,0.00,0.00
Petrilli,pauline,pp12499@example.com,Finished,"6 April 2022  11:41 AM","6 April 2022  12:09 PM","27 mins 47 secs",4.76,0.00,0.24,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.00,0.00,0.24,0.00,0.24,0.24,0.24,0.24,0.00,0.00,0.24,0.00,0.24,0.24,0.00,0.00,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.24,0.00,0.00,0.24
Pye,Charlie,cp12513@example.com,Finished,"6 April 2022  11:41 AM","6 April 2022  12:04 PM","23 mins 25 secs",8.81,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.00,0.24
Pankhurst,Chloe,cp10654@example.com,Finished,"6 April 2022  11:41 AM","6 April 2022  12:10 PM","29 mins 6 secs",6.67,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.00,0.00,0.00,0.24,0.00,0.24,0.00,0.00,0.00,0.24,0.00,0.24,0.24,0.24,0.24,0.00,0.24,0.00,0.00
Froutan,Jafar,jf8476@example.com,Finished,"6 April 2022  11:41 AM","6 April 2022  12:23 PM","41 mins 27 secs",8.10,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.00,0.24,0.00,0.00,0.00,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24
AlNoaimi,Ahmed,aa7693@example.com,Finished,"6 April 2022  11:41 AM","6 April 2022  11:57 AM","16 mins 24 secs",5.00,0.00,0.24,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.00,0.24,0.24,0.00,0.24,0.00,0.00,0.24,0.24,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.24,0.00,0.00,0.24,0.00,0.00,0.24,0.24,0.24,0.00,0.00,0.24,0.00
Rapanaki,Nefeli,nr12512@example.com,Finished,"6 April 2022  11:41 AM","6 April 2022  12:19 PM","37 mins 27 secs",7.38,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.00,0.00,0.24,0.00,0.00,0.24,0.24,0.24,0.24,0.00,0.24,0.00,0.00,0.00,0.24
Janjua,Owais,oj100020@example.com,Finished,"6 April 2022  11:41 AM","6 April 2022  12:21 PM","40 mins 1 sec",9.05,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24
Abraham,Rehanna,ra12484@example.com,Finished,"6 April 2022  11:41 AM","6 April 2022  12:04 PM","22 mins 32 secs",6.90,0.00,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.00,0.00,0.24,0.24,0.24,0.00,0.00,0.24,0.24,0.24,0.24,0.00,0.00,0.24,0.24,0.00,0.24,0.24,0.00,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24
Squire,Sophia,ss8882@example.com,Finished,"6 April 2022  11:41 AM","6 April 2022  12:22 PM","40 mins 29 secs",7.62,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.00,0.24,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,-,0.24,0.00
AlKareh,Marc,ma7748@example.com,Finished,"6 April 2022  11:41 AM","6 April 2022  12:13 PM","31 mins 42 secs",9.76,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
Suryanarayanan,Shri,ss12508@example.com,Finished,"6 April 2022  11:41 AM","6 April 2022  12:07 PM","25 mins 31 secs",8.33,0.24,0.24,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.00,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
